,items_base,items_add,support,confidence,lift
0,beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
1,berries,whipped/sour cream,0.009049313675648195,0.27217125382262997,3.796885505454703
2,herbs,root vegetables,0.007015760040671073,0.43124999999999997,3.956477378731343
3,sliced cheese,sausage,0.007015760040671073,0.2863070539419087,3.047434930215013
4,"other vegetables, beef",root vegetables,0.007930859176410779,0.40206185567010316,3.688692491152486
5,"beef, whole milk",root vegetables,0.008032536858159633,0.37799043062200954,3.467850639148754
6,"whole milk, butter",domestic eggs,0.005998983223182512,0.21771217712177124,3.4314090737061216
7,"other vegetables, butter",root vegetables,0.0066090493136756485,0.3299492385786802,3.027099590878097
8,"other vegetables, butter",whipped/sour cream,0.005795627859684799,0.2893401015228426,4.036397019116535
9,"whole milk, butter",whipped/sour cream,0.006710726995424504,0.24354243542435425,3.397503336735495
10,"chicken, whole milk",root vegetables,0.005998983223182512,0.34104046242774566,3.1288553619187303
11,"citrus fruit, other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
12,"other vegetables, tropical fruit",citrus fruit,0.009049313675648195,0.2521246458923513,3.0462480250015664
13,"citrus fruit, pip fruit",tropical fruit,0.005592272496187087,0.4044117647058823,3.8540597925216593
14,"citrus fruit, root vegetables",tropical fruit,0.0056939501779359435,0.3218390804597701,3.0671389111645726
15,"tropical fruit, curd",yogurt,0.0052872394509405184,0.5148514851485149,3.6906445746615475
16,"whole milk, curd",whipped/sour cream,0.005897305541433655,0.22568093385214008,3.148329055937302
17,"margarine, whole milk",domestic eggs,0.005185561769191663,0.2142857142857143,3.3774038461538463
18,"other vegetables, domestic eggs",root vegetables,0.007320793085917641,0.32876712328767127,3.016254344714783
19,"other vegetables, domestic eggs",whipped/sour cream,0.005083884087442806,0.228310502283105,3.185012468020337
20,"other vegetables, frozen vegetables",root vegetables,0.006100660904931368,0.3428571428571428,3.145522388059701
21,"other vegetables, onions",root vegetables,0.0056939501779359435,0.4,3.6697761194029854
22,"other vegetables, pip fruit",tropical fruit,0.00945602440264362,0.3618677042801557,3.4486132476698947
23,"pip fruit, whipped/sour cream",other vegetables,0.005592272496187087,0.6043956043956045,3.1236104935526905
24,"other vegetables, tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
25,"other vegetables, tropical fruit",whipped/sour cream,0.007829181494661922,0.21813031161473087,3.042995198199827
26,"other vegetables, yogurt",whipped/sour cream,0.010167768174885612,0.23419203747072598,3.2670619695384255
27,"pip fruit, root vegetables",tropical fruit,0.0052872394509405184,0.33986928104575165,3.238967421593961
28,"pip fruit, yogurt",tropical fruit,0.006405693950177936,0.3559322033898305,3.3920476941269215
29,"rolls/buns, shopping bags",sausage,0.005998983223182512,0.3072916666666667,3.2707938762626267
30,"yogurt, root vegetables",tropical fruit,0.00813421453990849,0.31496062992125984,3.00158701092596
31,"yogurt, root vegetables",whipped/sour cream,0.006405693950177936,0.2480314960629921,3.4601273245099677
32,"whipped/sour cream, tropical fruit",yogurt,0.0062023385866802234,0.44852941176470584,3.215223589435774
33,"citrus fruit, other vegetables","whole milk, root vegetables",0.005795627859684799,0.2007042253521127,4.103796374923136
34,"other vegetables, fruit/vegetable juice","whole milk, yogurt",0.005083884087442806,0.24154589371980675,4.3114407708426485
35,"other vegetables, pip fruit","whole milk, root vegetables",0.005490594814438231,0.21011673151750973,4.29625375150667
36,"pip fruit, yogurt","other vegetables, whole milk",0.005083884087442806,0.2824858757062147,3.7747942765905185
37,"rolls/buns, root vegetables","other vegetables, whole milk",0.0062023385866802234,0.25523012552301255,3.4105819083136257
38,"tropical fruit, root vegetables","other vegetables, whole milk",0.007015760040671073,0.33333333333333337,4.454257246376812
39,"whipped/sour cream, root vegetables","other vegetables, whole milk",0.005185561769191663,0.30357142857142855,4.056555706521739
40,"yogurt, root vegetables","other vegetables, whole milk",0.007829181494661922,0.3031496062992126,4.050918991783636
41,"other vegetables, tropical fruit","whole milk, yogurt",0.007625826131164209,0.21246458923512745,3.7923579584890716
42,"whipped/sour cream, yogurt","other vegetables, whole milk",0.005592272496187087,0.2696078431372549,3.602708066922421
43,"tropical fruit, root vegetables","yogurt, whole milk",0.0056939501779359435,0.2705314009661836,4.828813663343767
